sec,fon,eco,bud,avr,jun,sep,dec
990,3-0-0-0131-000-0010-01-0,2-611-20,20,,333152834,,
990,3-0-0-0131-050-0010-01-0,3-628-10,33,,0,,
903,4-5-1-0912-030-6200-02-1,3-621-10,470,,2000000,,
903,4-5-1-0912-030-6200-02-1,5-231-10,400,,4000000,,
905,4-4-0-0912-050-0130-02-1,2-611-07,33,,32626000,,
905,4-4-0-0912-050-0130-02-1,2-611-22,100,,43290000,,
905,4-4-0-0912-050-0130-02-1,2-611-23,130,,14380000,,
907,6-4-0-0760-070-0250-01-1,2-611-00,170,,5393000,,
907,6-4-0-0760-070-0250-01-1,4-643-10,85,,11381000,,
907,6-4-0-1032-070-0200-02-1,2-611-00,333,,15114000,,
907,6-4-0-1032-070-0200-02-1,3-621-10,111,,2573000,,
950,7-6-0-0471-001-0010-03-0,7-629-09,199,,17500000,,
950,7-6-0-0471-001-0010-03-0,7-629-11,132,,6000000,,
970,7-6-0-0631-000-0020-02-0,7-625-10,5,,1000000,,
2000,7-6-0-0631-000-0020-02-0,7-626-10,33,,500000,,
